id,created_datetime,index,document_type,year,full_name,office,position,position_type,position_category,corruptionAffected,relation_type,org_name,org_type,org_id,org_unit_name,org_unit_type,full_name_office_position,unique_guids
nacp_e8dd9e8d-8726-4ca4-bed9-057f7094e44a,2020-05-28 18:00:53,670.0,Щорічна,2019,Мінько Сергій Анатолійович,Управління справами Апарату Верховної Ради України,Народний депутат України,,,Так,16.0,"Запорізька обласна організація роботодавців агропромислового комплексу ""Українська аграрна конфедерація""",Громадське об’єднання,34789828,org,org,мінько сергій анатолійович управління справами апарату верховної ради україни народний депутат україни,1
nacp_00dabaef-3780-4e08-b327-cbdc59fc02c4,2020-05-28 18:29:55,82.0,Щорічна,2019,Воронов Володимир Анатолійович,Верховна Рада України,Народний депутат України,,,Ні,16.0,Міжнародний Фонд Дошкілля Майбутнього,Благодійна організація,43375001,org,org,воронов володимир анатолійович верховна рада україни народний депутат україни,1
nacp_00dabaef-3780-4e08-b327-cbdc59fc02c4,2020-05-28 18:29:55,82.0,Щорічна,2019,Воронов Володимир Анатолійович,Верховна Рада України,Народний депутат України,,,Ні,16.0,Донецьк 365,Громадське об’єднання,38654747,org,org,воронов володимир анатолійович верховна рада україни народний депутат україни,1
nacp_00dabaef-3780-4e08-b327-cbdc59fc02c4,2020-05-28 18:29:55,82.0,Щорічна,2019,Воронов Володимир Анатолійович,Верховна Рада України,Народний депутат України,,,Ні,16.0,Донецька рекламна асоціація,Громадське об’єднання,34939922,керівник,Керівні органи,воронов володимир анатолійович верховна рада україни народний депутат україни,1
nacp_491f7c9c-8ca0-4999-9c75-6b8d44e41d68,2020-05-28 19:04:19,176.0,Щорічна,2019,Єднак Остап Володимирович,Верховна Рада України,Народний депутат України,,,Ні,16.0,Фонд підтримки реформ в Україні,Благодійна організація,39361768,org,org,єднак остап володимирович верховна рада україни народний депутат україни,3
nacp_491f7c9c-8ca0-4999-9c75-6b8d44e41d68,2020-05-28 19:04:19,176.0,Щорічна,2019,Єднак Остап Володимирович,Верховна Рада України,Народний депутат України,,,Ні,16.0,ГРОМАДСЬКА ОРГАНІЗАЦІЯ МЕРЕЖА ЗАХИСТУ НАЦІОНАЛЬНИХ ІНТЕРЕСІВ АНТС,Громадське об’єднання,43262336,org,org,єднак остап володимирович верховна рада україни народний депутат україни,3
nacp_491f7c9c-8ca0-4999-9c75-6b8d44e41d68,2020-05-28 19:04:19,176.0,Щорічна,2019,Єднак Остап Володимирович,Верховна Рада України,Народний депутат України,,,Ні,16.0,Європейський вектор реформ,Громадське об’єднання,42701219,org,org,єднак остап володимирович верховна рада україни народний депутат україни,3
nacp_491f7c9c-8ca0-4999-9c75-6b8d44e41d68,2020-05-28 19:04:19,176.0,Щорічна,2019,Єднак Остап Володимирович,Верховна Рада України,Народний депутат України,,,Ні,16.0,Рада лісового сектору,Громадське об’єднання,40090440,org,org,єднак остап володимирович верховна рада україни народний депутат україни,3
nacp_31a0c737-6db4-42ed-825b-2b64e4c9a14e,2020-05-28 19:14:01,232.0,Щорічна,2019,Немиря Григорій Михайлович,Верховна Рада України,Народний депутат України,,,Ні,16.0,Центр європейських та міжнародних досліджень,Громадське об’єднання,25762142,керівний орган,Керівні органи,немиря григорій михайлович верховна рада україни народний депутат україни,1
nacp_70e08a0c-6d60-4adc-bfa8-74f701aaed0e,2020-05-28 19:33:08,245.0,Щорічна,2019,Лопушанський Андрій Ярославович,Верховна Рада України,Народний депутат України,Посада державної служби,А,Так,16.0,Федерація спортивного туризму України,Громадське об’єднання,25957970,Президія,Керівні органи,лопушанський андрій ярославович верховна рада україни народний депутат україни,1
nacp_70e08a0c-6d60-4adc-bfa8-74f701aaed0e,2020-05-28 19:33:08,245.0,Щорічна,2019,Лопушанський Андрій Ярославович,Верховна Рада України,Народний депутат України,Посада державної служби,А,Так,16.0,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""СХІДНОЄВРОПЕЙСЬКИЙ КОЛЕГІУМ ТЕРИТОРІАЛЬНОГО ТА МІСЦЕВОГО УПРАВЛІННЯ""",Громадське об’єднання,38798223,Наглядова Рада,Керівні органи,лопушанський андрій ярославович верховна рада україни народний депутат україни,1
nacp_70e08a0c-6d60-4adc-bfa8-74f701aaed0e,2020-05-28 19:33:08,245.0,Щорічна,2019,Лопушанський Андрій Ярославович,Верховна Рада України,Народний депутат України,Посада державної служби,А,Так,16.0,БЛАГОДІЙНИЙ ФОНД ІМЕНІ ЛОПУШАНСЬКОГО АНДРІЯ ЯРОСЛАВОВИЧА,Благодійна організація,36765662,Правління,Керівні органи,лопушанський андрій ярославович верховна рада україни народний депутат україни,1
nacp_294babb4-0db7-4692-bd0f-ad9f2f031ba6,2020-05-28 21:46:21,386.0,Щорічна,2019,Медведчук Віктор Володимирович,Верховна Рада України,Народний депутат України,,,Ні,16.0,Недержавна некомерційна професійна організація Національна асоціація адвокатів України,Саморегулівне чи самоврядне професійне об’єднання,38488439,org,org,медведчук віктор володимирович верховна рада україни народний депутат україни,3
nacp_294babb4-0db7-4692-bd0f-ad9f2f031ba6,2020-05-28 21:46:21,386.0,Щорічна,2019,Медведчук Віктор Володимирович,Верховна Рада України,Народний депутат України,,,Ні,16.0,Всеукраїнський громадський рух Український вибір - право народу,Громадське об’єднання,35919975,Керівник,Керівні органи,медведчук віктор володимирович верховна рада україни народний депутат україни,3
nacp_0a8e0b03-64b5-411a-86d1-4e69ddb80753,2020-05-28 22:39:19,450.0,Щорічна,2019,Рущишин Ярослав Іванович,Верховна Рада України,Народний депутат,Посада державної служби,А,Так,16.0,Благодійний фонд імені М.Туган-Барановського,Благодійна організація,35101434,org,org,рущишин ярослав іванович верховна рада україни народний депутат,1
nacp_0a8e0b03-64b5-411a-86d1-4e69ddb80753,2020-05-28 22:39:19,450.0,Щорічна,2019,Рущишин Ярослав Іванович,Верховна Рада України,Народний депутат,Посада державної служби,А,Так,16.0,Громадська організація Комітет підприємців Львівщини,Громадське об’єднання,33533042,org,org,рущишин ярослав іванович верховна рада україни народний депутат,1
