company_id,company_name,company_ua,counts
38277267,ГРОМАДСЬКА ОРГАНІЗАЦІЯ 'ФЕЛЬДМАН ЕКО-ПАРК',1.0,1
38268949,МІНЕРАЛИ ПРИКАРПАТТЯ,1.0,1
38387790,ІНФОРМАЦІЙНІ ТЕХНОЛОГІЇ МЕНЕДЖМЕНТУ,1.0,1
38248482,БЛАГОДІЙНА ОРГАНІЗАЦІЯ «БЛАГОДІЙНИЙ ФОНД ІВАНА ЧАЙКІВСЬКОГО» «ПОКРОВА»,1.0,1
38223850,ПОДІЛЛЯ І КО,1.0,1
38223845,СЛАВСЬКА,1.0,1
38204382,"Всеукраїнська молодіжна громадська організація ""Об'єднана молодь України""",1.0,1
38200922,ТОВ Максимко,1.0,1
38199231,РЕГІОНАЛЬНИЙ СТАБІЛІЗАЦІЙНИЙ ФОНД,1.0,1
38181313,Західклінкергруп,1.0,1
38160089,ПРИВАТНА УСТАНОВА 'ФЕЛЬДМАН ФЕМЕЛІ МУЗЕУМ',1.0,1
38159157,Благодійна організація Обласний благодійний фонд Дмитра Шенцева,1.0,1
38143173,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ІНВЕСТИЦІЙНА КОМПАНІЯ ВІТАГРО,1.0,1
38385154,М ЕНД С-СХІД,1.0,1
38388438,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ГЕОФІЗИКА-777»,1.0,1
39364051,Штаб Національного Захисту Полтавської області,1.0,1
38491636,ТОВ «КРАМАГРОСВІТ»,1.0,1
38656066,ТОВ ЛАНАПОДОВЕ 1,1.0,1
38639433,"ВІДОКРЕМЛЕНИЙ СТРУКТУРНИЙ ПІДРОЗДІЛ ""ІНСТИТУТ ІННОВАЦІЙНОЇ ОСВІТИ КИЇВСЬКИЙ НАЦІОНАЛЬНИЙ УНІВЕРСИТЕТ БУДІВНИЦТВА І АРХІТЕКТУРИ""",1.0,1
38618256,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ЗАВЖДИ ПОРУЧ ЗА ХМЕЛЬНИЧЧИНУ,1.0,1
38607600,ВСЕУКРАЇНСЬКА НАЦІОНАЛЬНА ФЕДЕРАЦІЯ ДВОРОВОГО ФУТБОЛУ,1.0,1
38590676,ТЕЛЕРАДІОКОМПАНІЯ 112-ТВ,1.0,1
38566334,БФ МИ КАМ'ЯНЧАНИ,1.0,1
38565655,СИСТЕМИ ДЛЯ БІЗНЕСУ 2,1.0,1
38538548,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ МФ-ПЛЮС,1.0,1
38526690,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ 'ЦІЛІСНИЙ МАЙНОВИЙ КОМПЛЕКС 103',1.0,1
38496973,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ 'КОСМО МОЛ',1.0,1
38464094,"ТОВ ""КУА Інвестиційна Група ПРОМЕТЕЙ""",1.0,1
38389578,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СТАРФІШ-КУПОН,1.0,1
38444544,ТОВ КРМ ТРЕВЕЛ ГРУП,1.0,1
38439545,ТОВ Полтавабудсервіс плюс,1.0,1
38434337,ТОВ МЕДІА АГЕНТСТВО ПРОМЕДІА КОНСАЛТІНГ,1.0,1
38429416,ТОВ Галич екофрукт,1.0,1
38422473,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ КАМ'ЯНСЬКИЙ ТЕРМІНАЛ,1.0,1
38411477,ТОВ «ВІТРЯНИЙ ПАРК АНТРАЦИТОВСКИЙ»,1.0,1
38403560,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ КИЇВСЬКИЙ СОКІЛ,1.0,1
38392973,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ СМАРТ-ЛІЗИНГ,1.0,1
38392355,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ІТ КАПІТАЛ,1.0,1
38390515,ВОГ Трейдинг,1.0,1
39351315,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ТРИБА,1.0,1
39434390,ТОВ ДЖЕВЕЛРІ ХАУС,1.0,1
39370243,ТОВ Львівські свинки,1.0,1
39391525,ТОВ Сади Галичини,1.0,1
40370896,ТОВ Грозянське-АПК,1.0,1
40358224,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «Екобуд» ,1.0,1
40325859,МУРАВЕЙ-ІНТЕРНЕШНЛ,1.0,1
