org_id,org_name,counts
38647685,"Громадська спілка ""Громадська рада м.Чернігів",1
38645714,Громадська організація 'Юридичний центр 'Конфіденс',1
38637939,ГРОМАДСЬКА ОРГАНІЗАЦІЯ КИЯНИ ЗА КОНКРЕТНІ СПРАВИ,1
38629273,"Благодійна організація благодійний фонд Валерія Лунченка та Мирослава Білецького ""Ваше Майбутнє""",1
38619286,"Благодійний фонд ""Підтримки материнства, дитинства та радіологічної безпеки""",1
38607600,Всеукраїнська національна федерація дворового футболу,1
38569466,"Громадська організація ""Всеукраїнський демократичний форум""",1
38567652,Всеукраїнська громадська організація Бюро антикорупційних розслідувань,1
39106525,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ІНСТИТУТ СТРАТЕГІЧНИХ ДОСЛІДЖЕНЬ ""НОВА УКРАЇНА""",1
39125362,Благодійний фонд ''Здоров'я Тернопільщини'',1
39418646,Благодійний фонд Братство меценатів Благодійники Вітчизни,1
39327931,Громадська організація РОЗВИТОК СТОЛИЦІ,1
39402924,Всеукраїнське об'єднання ДОРОГА ЖИТТЯ!,1
39371179,"БЛАГОДІЙНА ОРГАНІЗАЦІЯ ""ФОНД СЕРГІЯ ЛЬОВОЧКІНА ""НОВА УКРАЇНА"" ",1
39368805,"Благодійна організація ""Фонд Сергія Шахова""",1
39366525,Представництво громадської організації Об'єднання Самопоміч у місті Яворів,1
40113965,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ДОБРОВОЛЬЧЕ ФОРМУВАННЯ ""АЙДАР""",1
39362033,Благодійна організація Агентство відновлення та розвитку Донбасу,1
39361768,Фонд підтримки реформ в Україні,1
39356889,Спілка Відродження Донбаса,2
39349599,БЛАГОДІЙНА ОРГАНІЗАЦІЯ «БЛАГОДІЙНИЙ ФОНД ПІДТРИМКИ ДОБРОВОЛЬЦІВ»,1
39344590,АСОЦІАЦІЯ ПОДАТКОВИХ РАДНИКІВ,1
39332035,Скадовськ наш дім,1
39318230,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ПРАВОЗАХИСНА ГРУПА СІЧ""",1
39138410,"ГО ""АЦ ""Нова соціальна та економічна політика"" ",1
39294079,Громадське формування Захист та безпека,1
39256819,Фундація суспільних перетворень,1
39251742,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ФІЗКУЛЬТУРНО-СПОРТИВНЕ ТОВАРИСТВО ТЕНІС ДЛЯ ВАС,1
39251370,Громадська організація Всеукраїнське об'єднання Патріот,1
39230586,Відокремлений підрозділ в Вінницькій області ГО Всеукраїнська організація сприяння збройним силам України імені Гетьмана Сагайдачного,1
39225272,ІНСТИТУТ СОЦІАЛЬНОГО ЗАХИСТУ ГРОМАДЯН,1
39214522,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ВСЕУКРАЇНСЬКА ОРГАНІЗАЦІЯ ""ГІДНІСТЬ І ВОЛЯ""",1
39203380,Всеукраїнське обєднання захисту прав сімї,1
39197434,Патріоти Києва,1
39174967,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ВСЕУКРАЇНСЬКЕ ОБ'ЄДНАННЯ ""АВТОМАЙДАН""",1
39173696,БФРР Єдина Країна,1
39149024,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ЧАС-ДІЙ""",1
39145192,"""ХУСТ-ЕКСТРІМ""",1
40090440,Рада лісового сектору,1
40237930,ГО «ЖИТТЯ БЕЗ КОРУПЦІЇ»,1
40175089,ГО Офіс ефективного регулювання,1
41670536,УМР,2
42130029,"БО БФ МИХАЙЛА БОНДАРА БОРЕМОСЬ, ПЕРЕМАГАЄМО",1
42113583,ГО Колегіум Анни Ярославовни Схід,1
42113019,Громадська організація ПІСКІВКА СПОРТЦЕНТР,1
42073846,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ФАУНДЕЙШН ФО ФЬЮЧЕР,1
42036212,ГО ''МИР. РОЗВИТОК. СТАБІЛЬНІСТЬ.'',1
41958619,ГРОМАДСЬКА ОРГАНІЗАЦІЯ АЛЬЯНС УЧАСНИКІВ БОЙОВИХ ДІЙ,1
41920281,Українська Основа,1
41864992,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ЗА ЕФЕКТИВНЕ І БЕЗПЕЧНЕ ПРИРДОКОРИСТУВАННЯ,1
41850471,Громадська організація Покоління Ігрик,1
41827348,Громадська спілька Асоціація Футболу АР Крим,1
41774506,БЛАГОДІЙНИЙ ФОНД ІГОРЯ ВАСИЛЬКОВСЬКОГО,1
41767499,Всеукраїнська професійна спілка Міністерства Внутрішніх Справ України ,1
41735273,ГО ЦЕП,1
41715152,"ГО ""Секретаріат РГК""",1
41465040,Україна 2030,1
41654294,Ініціатива реальних дій,1
41615695,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ІНСТИТУТ ГРОМАДЯНСЬКИХ СВОБОД,1
41600778,БO Благодійний фонд Георгія Логвинського Інноваційні технології майбутнього,1
41573074,Українська жіноча демократична мережа,2
41564740,ЦЕНТР РОЗВИТКУ БЕРДИЧЕВА,1
41541959,ГРОМАДСЬКА ОРГАНІЗАЦІЯ 'ВСЕУКРАЇНСЬКЕ ОБ'ЄДНАННЯ 'НАРОДНІ ІНІЦІАТИВИ',1
41534999,"ГО ""Думай Працюй Контролюй""",1
41526134,"ГО ""НАШ ДІМ - КРЕМЕНЧУК""",1
41520609,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ЧИСТИЙ ХАРКІВ""",1
41509454,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ЦЕНТР ЗАХИТСУ ПРАВ ГРОМАДИ ГОЛОСІЇВА,1
41498118,"""РЕАБІЛІТАЦІЙНИЙ ЦЕНТР ФОНДУ БРАТІВ КУЗЬМІНИХ""",1
41489695,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ФЕДЕРАЦІЯ ЖІНОЧОЇ БОРОТЬБИ УКРАЇНИ,1
41489281,Футбольна академія Ягуар,1
42131955,Асоціація ''М'ясної галузі'',1
42158039,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ЕКСПЕРТНО-АНАЛІТИЧНИЙ ЦЕНТР З ПИТАНЬ ПУБЛІЧНОГО УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ КУБ,1
42231553,Українська стратегічна ініціатива,1
42293300,ЧАС РІВНОСТІ,1
43399043,Лідери змін,1
43379341,БЛАГОДІЙНИЙ ФОНД МІСТО СОНЦЯ,1
43375368,БЛАГОДІЙНА ОРГАНІЗАЦІЯ ВСЕУКРАЇНСЬКИЙ БЛАГОДІЙНИЙ ФОНД МИКОЛИ ТИЩЕНКО,1
43375001,Міжнародний Фонд Дошкілля Майбутнього,1
43313516,Незалежний центр політичних студій та аналітики Свідомінформ,1
43283597,ГО МИ-КАМ'ЯНЧАНИ,1
43270111,ГРОМАДСЬКА СПІЛКА НАЦІОНАЛЬНА ОСВІТНЯ АСОЦІАЦІЯ,1
43262336,ГРОМАДСЬКА ОРГАНІЗАЦІЯ МЕРЕЖА ЗАХИСТУ НАЦІОНАЛЬНИХ ІНТЕРЕСІВ АНТС,1
43256804,ГО НАША АЛЬТЕРНАТИВА,1
43136278,ГО Люди дій,1
43040078,Громадська організація Всеукраїнська асоціація музичних подій,1
43017075,Благодійний фонд Оксани Юринець,1
42992011,ГО ФЕДЕРАЦІЯ БОКСУ УЖГОРОДСЬКОГО РАЙОНУ,1
42991966,ГО ФК ОЛІМПІК - К,1
42928428,УКРАЇНСЬКА ФЕДЕРАЦІЯ ЛАЙФСЕЙВІНГУ,1
42803899,Громадська організація МАРАЗЛІ КЛАБ,1
42775977,КОМАНДА ЗЕ,1
42716325,АЛЬЯНС ДІЙ,1
42701219,Європейський вектор реформ,1
42648538,Асоціація Дорожників Полтавщини,1
42464535,Інноваційна нація,1
42410920,"Громадська організація ""Центр ""Криворівня"" ",2
42407587,Громадська організація РЕСПУБЛІКАНЦІ,2
42324993,ВСЕУКРАЇНСЬКА НЕЗАЛЕЖНА ПРОФСПІЛКА ПРАЦІВНИКІВ ХІМІЧНОЇ ПРОМИСЛОВОСТІ,1
42320831,"громадська організація ""Природо-екологічний контроль ""ЛЕВІАФАН"" .",1
42320240,Громадська організація Антикорупційна Платформа Інтегріті ЮА,2
41477852,Народна платформа розвитку та допомоги,1
41436580,СКЛИК,1
40192628,ЦЕНТР КОНТЕНТ-АНАЛІЗУ,1
40413316,"Громадська організація ""Освітня асамблея""",1
40875810,ЄВРОПЕЙСЬКА АСАМБЛЕЯ ЖІНОК-ДЕПУТАТІВ,1
40874025,Національний центр правозахисту,1
40679522,Київська спілка ветеранів війни з Росією,1
40579138,Волонтерський ініціативний рух Інтелектуальна Україна,1
40574578,ВІДКРИТИЙ ПРАВОСЛАВНИЙ УНІВЕРСИТЕТ СВЯТОЇ СОФІЇ-ПРЕМУДРОСТІ,1
40554438,Міжнародне співтовариство з прав людини,1
40533659,УКРАЇНА - ВЕЛИКА НАЦІЯ,1
40501187,ГРОМАДСЬКА ОРГАНІЗАЦІЯ НАШ ДОБРОБУТ,1
40496235,Інститут геополітики та проблем безпеки,1
40464004,КВАНТУМ ФЬЮЧЕР ЛАБ,1
40423502,Агенція європейського співробітництва,1
40422142,політична партія Слуга Народу,3
40402985,Громадська організація Міжнародний центр Балтійсько-чорноморських досліджень та консенсусних практик. Центр політичного діалогу,1
41426478,"""ЧЕРКАСЬКИЙ ЦЕНТР РЕАБІЛІТАЦІЇ""",1
40394173,"Хокейний клуб ""Рось""",1
40385296,"ГО ""Команда СДС МОТОРСПОРТ""",1
40377907,"ППО ПКП ""КРЕМЕНЧУКВОДОКАНАЛ"" ",1
40350361,"ПП ""Громадсько-політична платформа Надії Савченко""",1
40336902,Благодійна організація Благодійний Фонд Ірини Борзової,1
40333592,"Ліга професорів права, докторів юридичних наук та докторів філософії у сфері права",4
40309821,Громадський рух Киви-стоп наркотик,1
40276756,"""АНТИКОРУПЦІЙНА ГВАРДІЯ""",1
40274140,ГРОМАДСЬКА ОРГАНІЗАЦІЯ СПОРТИВНИЙ КЛУБ ЕПІЦЕНТР,1
38557623,"""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ""",1
40212319,ВСЕУКРАЇНСЬКЕ ОБЄДНАННЯ СУМИ ПСЕЛ,1
40882277,БЛАГОДІЙНА ОРГАНІЗАЦІЯ БЛАГОДІЙНИЙ ФОНД ІГОРЯ КОЛИХАЄВА,1
40896337,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ХЕРСОНСЬКА МІСЬКА ГРОМАДСЬКА ОРГАНІЗАЦІЯ ІНВАЛІДІВ ІНВАСПОРТ СК ХЕРСОН,1
40896515,"Громадська організація ""Фундація розвитку закарпатського мистецтва"" (ГО ""Фундація розвитку закарпатського мистецтва"")",1
40900725,Благодійна організація БЛАГОДІЙНИЙ ФОНД МЕМОРІАЛ ГОЛОКОСТУ БАБИН ЯР,1
41421705,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ЧОРНА РАДА,1
41403026,Благодійний фонд Марії Максакової,1
41386100,ГО МІЖНАРОДНИЙ РЕСПУБЛІКАНСЬКИЙ КЛУБ,1
41369881,"""Національна асоціація захисників тварин та навколишнього природного середовища""",1
41332453,Благодійний фонд - Перша загальноосвітня духовно-просвітницька школа,1
41326282,БЛАГОДІЙНИЙ ФОНД СВІТ НАВКОЛО НАС,1
41325294,БЛАГОДІЙНА ОРГАНІЗАЦІЯ ВСЕУКРАЇНСЬКИЙ БЛАГОДІЙНИЙ ФОНД АТБ,1
41306837,АГЕНЦІЯ СТАЛОГО РОЗВИТКУ ЖОВТІ ВОДИ,1
41302853,Громадська організація Міжнародний центр стратегій безпеки та оборони,1
41290864,Рух визволення,1
41176371,"Громадська організація ""Українська кіноакадемія""",1
41152628,"Громадська організація ""Всеукраїнська спілка ветеранів АТО правоохоронних органів""",1
41148688,"Обслуговуючий кооператив ""ЖК НАУКОВИЙ""",1
41145081,Федерація футболу АР Крим,1
41125526,"ВСЕУКРАЇНСЬКЕ ОБ'ЄДНАННЯ АТАКА""",1
41092302,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ВСЕУКРАЇНСЬКА АСОЦІАЦІЯ ЖІНОЧОГО ФУТБОЛУ""",1
41087224,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ПРОСТІР 500"" ( ГО ""ПРОСТІР 500"" )",1
41083261,Федерація волейболу Сумської області,1
41082273,НАЦІОНАЛЬНА ПЛАТФОРМА ЖІНКИ ЗА МИР,1
41056945,"Громадська організація ""Агенція сталого розвитку міста Тернівка Дніпропетровської області""",1
41053614,Асоціація випускників і друзів Вінницького кооперативного інституту,1
41051601,Рада представників вищих навчальних закладів України,1
41036604,"""ЖИТОМИРСЬКИЙ ЦЕНТР РЕАБІЛІТАЦІЇ""",1
41032039,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ГРАНАТ""",1
41026109,"Всеукраїнська асоціація органів місцевого самоврядування Асоціація сільських, селищних рад та об’єднаних громад України",1
41008603,Громадська організація Агенція юридичного консалтингу,1
41001503,Громадська організація Ліга земельних експертів територіальних громад України,1
40936201,ВПС ПРАЦІВНИКІВ АПАРАТУ МВС УКРАЇНИ,1
40917634,Агенція з розвитку та інвестицій,1
38560641,ГРОМАДСЬКЕ ФОРМУВАННЯ ГРОМАДСЬКА БЕЗПЕКА З ОХОРОНИ ГРОМАДСЬКОГО ПОРЯДКУ І ДЕРЖАВНОГО КОРДОНУ М.КРЕМЕНЧУК,1
38536488,РАДА АДВОКАТІВ КИЇВСЬКОЇ ОБЛАСТІ,1
26074792,"Молодіжна громадська організація ""Євроклуб-Мелітополь""",1
26376116,Асоціація органів місцевого самоврядування Київської області,1
26360405,ЛКО Молодий Народний Рух,1
26360109,ЛЬВІВСЬКА МІСЬКА ГРОМАДСЬКА НАУКОВА ОРГАНІЗАЦІЯ ЦЕНТР ДОСЛІДЖЕНЬ ВИЗВОЛЬНОГО РУХУ,1
26347818,"Олешківський міський футбольний клуб ""Динамо""",1
26345446,"Громадська організація ""Фонд сприяння розвитку акушерської допомоги ім. С.В.Берчика""",1
26345073,"Громадська організація ""Школа політичної аналітики""",1
26343186,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ЯКІСТЬ ЖИТТЯ""",1
26312576,Громадська організація ТОВАРИСТВО ІНДИВІДУАЛЬНИХ ЗАБУДОВНИКІВ ЗОЛОТІ ВОРОТА,1
26212706,Футбольний клуб Севлюш,1
26202534,Харківське обласне мисливське товариство Лісомір,1
26126023,"Громадська організація ""Асоціація захисту української культури ""Український світанок""",1
26111369,Всеукраїнська футбольна Асоціація студентів,1
26059462,Всеукраїнська молодіжна організація 'Молодь проти корупції',1
38533335,Рада адвокатів Закарпатської області,2
26020610,"Донецька міська ГО ""Спортивний Клуб ""ІСД""",1
25977115,Асоціація спортивної боротьби Одеської області,1
25961189,У майбутнє через культуру,1
25957970,Федерація спортивного туризму України,1
25901218,Прилуцький благодійний фонд Європа,1
25884595,КОМІТЕТ ЗАХИСТУ ПРАВ СПОЖИВАЧІВ ДАРНИЦЬКОГО РАЙОНУ М. КИЄВА,1
25867645,ВІЛЬНА ПРОФСПІЛКА МІСТА КРЕМЕНЧУКА,1
25785516,"Чернігівська обласна партійна організація Всеукраїнського обєднання ""Батьківщина""",1
25784681,"ПОЛТАВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ВСЕУКРАЇНСЬКОГО ОБ'ЄДНАННЯ ""БАТЬКІВЩИНА""",1
25777818,Київське лікарське товариство,1
25768311,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ФЕДЕРАЦІЯ ВІЛЬНОЇ БОРОТЬБИ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСТІ,1
25762142,Центр європейських та міжнародних досліджень,1
25665309,Івано-Франківське земляцтво у Києві,1
25652413,"Олешківський районний фізкультурно-спортивний клуб ""Олешківська січ""",1
26409181,ВСЛІ Чорнобиль -86,1
26427090,"Благодійний фонд ""Троянда""",1
26437295,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""АСОЦІАЦІЯ СПРИЯННЯ БОРОТЬБІ З КОРУПЦІЄЮ""",1
26461282,Дніпропетровський общинний фонд,1
33947534,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ДУМКА ГРОМАДСЬКОГО БЛАГОПОЛУЧЧЯ""",1
33927193,"""ФОНД РОЗВИТКУ БОГУСЛАВЩИНИ""",1
33926190,"Молодіжна громадська організація ""Краще без...""",1
33887910,Благодійний Фонд Платар. Пам'яті Сергія Платонова,1
33835019,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ФОРУМ СПРИЯННЯ СОЦІАЛЬНО-ЕКОНОМІЧНОМУ РОЗВИТКУ""",1
33834151,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ЗА ПРОЗОРИЙ БЮДЖЕТ""",1
33834125,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ЗА ГЛАСНІСТЬ""",1
33834078,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ОБЄДНАННЯ СПРИЯННЯ ГРОМАДСЬКОМУ СУСПІЛЬСТВУ""",1
33834041,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""АСОЦІАЦІЯ СПРИЯННЯ РОЗВИТКУ МІСЦЕВОГО САМОВРЯДУВАННЯ""",1
33833603,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ДОЦІЛЬНІСТЬ І ЗАКОННІСТЬ""",1
33833577,"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""СПРИЯННЯ ЄВРОПЕЙСЬКІЙ ІНТЕГРАЦІЇ""",1
33805487,"ГО ""Фонд Стрийського парку""",1
33779054,"ВСЕУКРАЇНСЬКА МОЛОДІЖНА ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""АСОЦІАЦІЯ СТУДЕНТІВ-ПОЛІТОЛОГІВ УКРАЇНИ""",1
33609577,Харківська громадська організація Громадянський Форум,1
33533042,Громадська організація Комітет підприємців Львівщини,1
33492085,"Громадська організація ""Німецько-польсько-українське товариство в Україні""",1
33461979,"Громадська організація ""Об'єднання підприємців Львівщини ""Крок""",1
33441575,Громадська організація Центр правової допомоги населенню Громадський захисник,1
33428643,КІРОВОГРАДСЬКИЙ ОБЛАСНИЙ БЛАГОДІЙНИЙ ФОНД ПІДТРИМКИ НЕЗАЛЕЖНОЇ ПРЕСИ,1
33130311,"РЕГІОНАЛЬНА ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ПРАВО НАРОДУ""",1
33122819,ГО Харківський фонд диких тварин,1
33083089,Дачне товариство Біла Береза,1
32468863,Борівське мисливсько-рибальське товариство Хантер,1
32404747,"""Агенція місцевого економічного розвитку міста Бурштина""",1
31630984,АСОЦІАЦІЯ ПОРТІВ УКРАЇНИ УКРПОРТ,1
31088771,Інтернет Ассоціація України,1
26520820,Громадська організація Асоціація ветеранів Міністерства внутрішніх справ України,1
26509994,ГО Центр соціальних технологій Інфопростір,1
26484047,Федерація рукопашу гопак України,1
24718067,Кіровоградська обласна громадська організація УКРАЇНСЬКА СТУДЕНТСЬКА СПІЛКА,1
24582774,Громадська організація Фонд регіональних ініціатив,1
24284657,"Громадська організація ""Харківська обласна організація громадської організації ""Союзу юристів України""",1
20071736,Всеукраїнське лікарське товариство,1
20069726,ГРОМАДСЬКА ОРГАНІЗАЦІЯ УКРАЇНСЬКЕ ТОВАРИСТВО ОХОРОНИ ПТАХІВ,1
